index,x,y
214,-1.5649999683350324,-0.424999878928066
215,-1.5649999683350324,-0.37499987818300795
216,-1.5649999683350324,-0.3249998774379499
217,-1.5649999683350324,-0.27499987669289183
218,-1.5649999683350324,-0.22499987594783377
219,-1.5649999683350324,-0.1749998752027757
220,-1.5649999683350324,-0.12499987445771765
221,-1.5649999683350324,-0.07499987371265959
222,-1.5649999683350324,-0.024999872967601533
223,-1.5649999683350324,0.025000127777456527
224,-1.5649999683350324,0.07500012852251459
225,-1.5649999683350324,0.12500012926757265
226,-1.5649999683350324,0.1750001300126307
227,-1.5649999683350324,0.22500013075768877
228,-1.5649999683350324,0.2750001315027468
229,-1.5649999683350324,0.3250001322478049
230,-1.5649999683350324,0.37500013299286294
231,-1.5649999683350324,0.425000133737921
232,-1.5649999683350324,0.47500013448297906
233,-1.5649999683350324,0.5250001352280371
234,-1.5649999683350324,0.5750001359730952
235,-1.5649999683350324,0.6250001367181532
236,-1.5649999683350324,0.6750001374632113
237,-1.5649999683350324,0.7250001382082694
238,-1.5649999683350324,0.7750001389533274
239,-1.5649999683350324,0.8250001396983855
240,-1.5649999683350324,0.8750001404434435
241,-1.6149999690800905,0.9250001411885016
242,-1.6149999690800905,0.9750001419335597
243,-1.6649999698251485,1.0250001426786177
244,-1.6649999698251485,1.0750001434236758
245,-1.7149999705702066,1.1250001441687338
246,-1.7149999705702066,1.175000144913792
247,-1.7649999713152646,1.22500014565885
248,-1.7649999713152646,1.275000146403908
249,-1.8149999720603227,1.325000147148966
250,-1.8149999720603227,1.3750001478940241
251,-1.8149999720603227,1.4250001486390822
252,-1.8649999728053808,1.4750001493841403
253,-1.8649999728053808,1.5250001501291983
254,-1.9149999735504388,1.5750001508742564
255,-1.9149999735504388,1.6250001516193144
256,-1.9149999735504388,1.6750001523643725
257,-1.9649999742954969,1.7250001531094306
258,-1.9649999742954969,1.7750001538544886
259,-1.9649999742954969,1.8250001545995467
260,-1.9649999742954969,1.8750001553446047
261,-1.9649999742954969,1.9250001560896628
262,-2.014999975040555,1.9750001568347209
263,-2.014999975040555,2.025000157579779
264,-2.014999975040555,2.075000158324837
265,-2.014999975040555,2.125000159069895
266,-2.014999975040555,2.175000159814953
267,-2.014999975040555,2.225000160560011
268,-2.064999975785613,2.275000161305069
269,-2.064999975785613,2.3250001620501273
270,-2.064999975785613,2.3750001627951853
271,-2.064999975785613,2.4250001635402434
272,-2.064999975785613,2.4750001642853015
273,-2.064999975785613,2.5250001650303595
274,-2.114999976530671,2.5750001657754176
275,-2.114999976530671,2.6250001665204756
276,-2.114999976530671,2.6750001672655337
277,-2.114999976530671,2.7250001680105918
278,-2.114999976530671,2.77500016875565
279,-2.114999976530671,2.825000169500708
280,-2.114999976530671,2.875000170245766
281,-2.164999977275729,2.925000170990824
282,-2.164999977275729,2.975000171735882
283,-2.164999977275729,3.02500017248094
284,-2.164999977275729,3.075000173225998
285,-2.164999977275729,3.1250001739710562
286,-2.164999977275729,3.1750001747161143
287,-2.164999977275729,3.2250001754611723
288,-2.164999977275729,3.2750001762062304
289,-2.164999977275729,3.3250001769512885
290,-2.164999977275729,3.3750001776963465
291,-2.214999978020787,3.4250001784414046
292,-2.214999978020787,3.4750001791864626
293,-2.214999978020787,3.5250001799315207
294,-2.214999978020787,3.5750001806765788
295,-2.214999978020787,3.625000181421637
296,-2.214999978020787,3.675000182166695
297,-2.214999978020787,3.725000182911753
298,-2.214999978020787,3.775000183656811
299,-2.214999978020787,3.825000184401869
300,-2.214999978020787,3.875000185146927
301,-2.214999978020787,3.925000185891985
302,-2.214999978020787,3.9750001866370432
303,-2.214999978020787,4.025000187382101
304,-2.214999978020787,4.075000188127159
305,-2.214999978020787,4.125000188872217
306,-2.164999977275729,4.1750001896172755
307,-2.114999976530671,4.2250001903623335
308,-2.064999975785613,4.275000191107392
