index,x,y,yaw_rad
198,0.3419536905279786,3.7377431779748567,-1.5262035272146306
199,0.34596658881291975,3.6478130084524025,-1.53045328343441
200,0.34966785466410205,3.556117952428722,-1.534359577787838
201,0.35307170367914087,3.4627412759648055,-1.5379505836707346
202,0.3561923514556517,3.3677662451216435,-1.5412509977156619
203,0.35904401359125016,3.271276125960225,-1.5442825189254803
204,0.3616409056835516,3.1733541845415414,-1.547064248136962
205,0.3639972433301715,3.074083686926582,-1.5496130224525557
206,0.36612724212872555,2.9735478991763373,-1.5519436962659832
207,0.36804511767682896,2.871830087351797,-1.5540693781660442
208,0.36976508557209736,2.7690135175139514,-1.5560016311710467
209,0.3713013614121463,2.6651814557237903,-1.55775064230321
210,0.3726681607945911,2.5604171680423042,-1.5593253663683613
211,0.37387969931704734,2.4548039205304835,-1.560733647893216
212,0.3749501925771305,2.3484249792493173,-1.561982324438851
213,0.3758938561724561,2.2413636102597962,-1.5630773139154062
214,0.3767249057006395,2.1337030796229106,-1.5640236880389344
215,0.3774575567592964,2.0255266533996505,-1.5648257336732636
216,0.37810602494604206,1.9169175976510056,-1.5654870034691073
217,0.37868452585849205,1.8079591784379667,-1.5660103569350283
218,0.379207275094262,1.698734661821519,-1.5663979928383462
219,0.3796884882509672,1.5893273138626614,-1.5666514736293786
220,0.3801423809262232,1.4798204006223794,-1.5667717424016705
221,0.3805831687176455,1.3702971881616632,-1.566759132737375
222,0.38102506722284957,1.2608409425415035,-1.5666133716351438
223,0.3814822920394509,1.1515349298228894,-1.5663335755724186
224,0.381969058765065,1.0424624160668117,-1.5659182396101068
225,0.3824995829973074,0.9337066673342604,-1.5653652193004282
226,0.3830880803337935,0.8253509496862254,-1.5646717050032415
227,0.3837487663721388,0.7174785291836969,-1.563834188047076
228,0.3844958567099588,0.610172671887665,-1.5628484179822135
229,0.385343566944869,0.5035166438591205,-1.5617093499575165
230,0.3863061126744847,0.39759371115905207,-1.5604110810017313
231,0.3873977094964218,0.29248713984845065,-1.5589467736933715
232,0.3886325730082955,0.18828019598830636,-1.5573085653479815
233,0.3900249188077212,0.08505614563960906,-1.5554874604216422
234,0.3915889624923147,-0.01710174513665097,-1.5534732033039067
235,0.39333891965969126,-0.11811021027948365,-1.5512541280257037
236,0.3952890059074662,-0.21788598372789902,-1.54881698060353
237,0.39745343683325546,-0.3163457994209067,-1.5461467087355465
238,0.3998464280346742,-0.4134063912975169,-1.5432262122986726
239,0.40248219510933814,-0.5089844932967393,-1.5400360464906335
240,0.4053749536548623,-0.6029968393575844,-1.5365540674117504
241,0.4085389192688627,-0.6953601634190614,-1.5327550072485883
242,0.41198830754895466,-0.78599119942018,-1.5286099628138488
243,0.41573733409275343,-0.8748066812999504,-1.5240857767552278
244,0.41980021449787486,-0.961723342997387,-1.5191442849115464
245,0.4241911643619342,-1.0466579184514913,-1.5137413955708805
246,0.4289243992825471,-1.1295271416012769,-1.5078259560766347
247,0.4340141348573287,-1.210247746385754,-1.1821028975737027
248,0.4652290053308357,-1.2864692506630302,-0.7055590044934933
249,0.547368118214625,-1.3564383058525087,-0.6639050677354303
250,0.6350000644475222,-1.4249998938292272,-0.6639050677354303
